Usage data for account gpuuva065

Month      Account    User                    SBUs      Restituted
---------- ---------- ------------ --------------- --------------- 
2025-12-14 gpuuva065  scur1710               281.4             0.0
Totals for this user                       20925.0             0.0

2025-11-11 gpuuva065  scur1711              1572.2             0.0
2025-11-12 gpuuva065  scur1711             10500.2             0.0
2025-11-14 gpuuva065  scur1711                64.5             0.0
2025-11-15 gpuuva065  scur1711                88.2             0.0
2025-11-16 gpuuva065  scur1711              8026.6             0.0
2025-11-17 gpuuva065  scur1711              3076.8             0.0
2025-11-18 gpuuva065  scur1711               209.5             0.0
2025-11-19 gpuuva065  scur1711              8409.1             0.0
2025-11-20 gpuuva065  scur1711             21113.1             0.0
2025-11-22 gpuuva065  scur1711              2078.0             0.0
2025-11-23 gpuuva065  scur1711              1543.8             0.0
2025-11-28 gpuuva065  scur1711                 9.7             0.0
2025-12-01 gpuuva065  scur1711              1549.6             0.0
2025-12-02 gpuuva065  scur1711              7426.5             0.0
2025-12-03 gpuuva065  scur1711              5703.1             0.0
2025-12-04 gpuuva065  scur1711                41.7             0.0
2025-12-11 gpuuva065  scur1711              8060.6             0.0
2025-12-14 gpuuva065  scur1711                13.6             0.0
2025-12-15 gpuuva065  scur1711              1086.0             0.0
2025-12-18 gpuuva065  scur1711              1113.5             0.0
2025-12-20 gpuuva065  scur1711                 0.5             0.0
Totals for this user                       81686.7             0.0

2025-11-01 gpuuva065  scur1713                15.2             0.0
2025-11-13 gpuuva065  scur1713                12.1             0.0
2025-11-14 gpuuva065  scur1713               812.1             0.0
2025-11-15 gpuuva065  scur1713                76.7             0.0
2025-11-16 gpuuva065  scur1713                85.3             0.0
2025-11-17 gpuuva065  scur1713               552.4             0.0
2025-11-19 gpuuva065  scur1713                13.7             0.0
2025-11-21 gpuuva065  scur1713               164.4             0.0
2025-11-22 gpuuva065  scur1713               544.3             0.0
2025-11-23 gpuuva065  scur1713              1026.7             0.0
2025-11-30 gpuuva065  scur1713               182.7             0.0
2025-12-01 gpuuva065  scur1713              5540.7             0.0
2025-12-11 gpuuva065  scur1713                76.3             0.0
2025-12-12 gpuuva065  scur1713              2866.9             0.0
2025-12-13 gpuuva065  scur1713              1121.4             0.0
2025-12-31 gpuuva065  scur1713                23.6             0.0
Totals for this user                       13114.6             0.0

2025-11-05 gpuuva065  scur1716               311.2             0.0
2025-11-06 gpuuva065  scur1716                 0.5             0.0
2025-11-12 gpuuva065  scur1716                 4.0             0.0
2025-11-13 gpuuva065  scur1716               444.1             0.0
2025-11-17 gpuuva065  scur1716               271.3             0.0
2025-11-18 gpuuva065  scur1716               213.4             0.0
2025-12-02 gpuuva065  scur1716                63.7             0.0
2025-12-03 gpuuva065  scur1716               130.3             0.0
2025-12-04 gpuuva065  scur1716                10.6             0.0
2025-12-08 gpuuva065  scur1716                 2.8             0.0
2025-12-12 gpuuva065  scur1716               204.6             0.0
2025-12-15 gpuuva065  scur1716               127.1             0.0
2025-12-18 gpuuva065  scur1716              1463.8             0.0
2025-12-19 gpuuva065  scur1716              1307.4             0.0
2025-12-20 gpuuva065  scur1716                10.4             0.0
2025-12-21 gpuuva065  scur1716                 3.2             0.0
Totals for this user                        4568.5             0.0

2025-10-30 gpuuva065  scur1719                18.3             0.0
2025-11-03 gpuuva065  scur1719                 2.1             0.0
2025-11-04 gpuuva065  scur1719               715.7             0.0
2025-11-05 gpuuva065  scur1719              2545.0             0.0
2025-11-06 gpuuva065  scur1719               487.9             0.0
2025-11-11 gpuuva065  scur1719               120.5             0.0
2025-11-12 gpuuva065  scur1719                45.9             0.0
2025-11-13 gpuuva065  scur1719               806.6             0.0
2025-11-15 gpuuva065  scur1719                57.0             0.0
2025-11-17 gpuuva065  scur1719              1085.2             0.0
2025-11-18 gpuuva065  scur1719                27.0             0.0
2025-11-20 gpuuva065  scur1719               509.4             0.0
2025-11-21 gpuuva065  scur1719               161.3             0.0
2025-11-23 gpuuva065  scur1719               140.8             0.0
2025-12-01 gpuuva065  scur1719               477.9             0.0
2025-12-02 gpuuva065  scur1719              4869.1             0.0
2025-12-03 gpuuva065  scur1719              1489.1             0.0
2025-12-04 gpuuva065  scur1719              3391.1             0.0
2025-12-05 gpuuva065  scur1719              3215.8             0.0
2025-12-06 gpuuva065  scur1719              9111.9             0.0
2025-12-07 gpuuva065  scur1719              7448.2             0.0
2025-12-08 gpuuva065  scur1719             19003.3             0.0
2025-12-09 gpuuva065  scur1719             17425.1             0.0
2025-12-10 gpuuva065  scur1719             10962.3             0.0
2025-12-11 gpuuva065  scur1719             21274.4             0.0
2025-12-12 gpuuva065  scur1719              1299.8             0.0
2025-12-13 gpuuva065  scur1719              1060.9             0.0
2025-12-14 gpuuva065  scur1719              1156.9             0.0
2025-12-19 gpuuva065  scur1719               768.1             0.0
Totals for this user                      109676.6             0.0

2025-12-13 gpuuva065  scur1721               112.6             0.0
2025-12-15 gpuuva065  scur1721               109.2             0.0
2025-12-16 gpuuva065  scur1721               682.9             0.0
2025-12-17 gpuuva065  scur1721               294.6             0.0
2025-12-18 gpuuva065  scur1721               918.7             0.0
Totals for this user                        2118.1             0.0

2025-11-06 gpuuva065  scur1724                 0.2             0.0
2025-11-07 gpuuva065  scur1724                12.9             0.0
2025-11-08 gpuuva065  scur1724                 1.6             0.0
2025-11-09 gpuuva065  scur1724                 0.5             0.0
2025-11-13 gpuuva065  scur1724                18.7             0.0
Totals for this user                          33.9             0.0

2025-11-06 gpuuva065  scur1731               260.5             0.0
2025-11-12 gpuuva065  scur1731                13.5             0.0
2025-11-13 gpuuva065  scur1731                 5.2             0.0
2025-11-15 gpuuva065  scur1731                 7.5             0.0
2025-11-17 gpuuva065  scur1731               133.8             0.0
2025-11-18 gpuuva065  scur1731              1976.0             0.0
2025-11-19 gpuuva065  scur1731                29.2             0.0
2025-11-20 gpuuva065  scur1731              1883.3             0.0
2025-12-02 gpuuva065  scur1731                87.1             0.0
2025-12-03 gpuuva065  scur1731                45.0             0.0
2025-12-08 gpuuva065  scur1731              1052.0             0.0
2025-12-09 gpuuva065  scur1731               433.2             0.0
2025-12-10 gpuuva065  scur1731             13646.6             0.0
2025-12-11 gpuuva065  scur1731                83.3             0.0
2025-12-12 gpuuva065  scur1731              6533.8             0.0
2025-12-13 gpuuva065  scur1731              1439.2             0.0
2025-12-14 gpuuva065  scur1731               389.5             0.0
Totals for this user                       28018.5             0.0

2025-11-12 gpuuva065  scur1732                29.2             0.0
2025-11-13 gpuuva065  scur1732               160.6             0.0
2025-11-14 gpuuva065  scur1732               235.0             0.0
2025-11-15 gpuuva065  scur1732               787.5             0.0
2025-11-16 gpuuva065  scur1732               236.7             0.0
2025-11-17 gpuuva065  scur1732             12771.0             0.0
2025-11-18 gpuuva065  scur1732              1271.2             0.0
2025-11-19 gpuuva065  scur1732                14.2             0.0
2025-11-20 gpuuva065  scur1732                 0.0             0.0
2025-11-21 gpuuva065  scur1732                28.6             0.0
2025-12-10 gpuuva065  scur1732                 6.5             0.0
2025-12-11 gpuuva065  scur1732              1481.4             0.0
